Line Station Post 1983 1985 1987 1989 1991 1993 1995 1997 1999 2002 2006 2014 2016 2018,Line,Station,Milepost,1/1/1983,1/1/1985,1/1/1987,1/1/1989,1/1/1991,1/1/1993,1/1/1995,1/1/1997,1/1/1999,1/1/2002,1/1/2006,1/1/2014,1/1/2016,1/1/2018,Latitude,Longitude,StationLevelChange83,StationDelta99,,,,
Reference,ZReference,Moline,50.00,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,41.505745,-90.47735,,,,,,
"BNSF UnionStation 0.0 18,545 20,005 21,361 22,620 21,980 21,995 22,546 24,200 25,355 25,114 26,547 26,077 26,615 26,305",BNSF,UnionStation,0,18545,20005,21361,22620,21980,21995,22546,24200,25355,25114,26547,26077,26615,26305,41.878646,-87.639817,42%,4%,950,,,
"UP-NW OgilvieTransCtr. 0.0 13,737 13,517 15,037 15,778 15,809 16,516 15,954 15,253 15,603 14,542 14,886 15,938 16,395 16,969",UP-NW,OgilvieTransCtr.,0,13737,13517,15037,15778,15809,16516,15954,15253,15603,14542,14886,15938,16395,16969,41.890416,-88.464151,24%,9%,,,,
"UP-W OgilvieTransCtr 0.0 10,769 10,843 12,372 12,736 12,544 12,758 13,299 12,770 12,383 11,594 11,743 12,781 13,451 13,119",UP-W,OgilvieTransCtr,0,10769,10843,12372,12736,12544,12758,13299,12770,12383,11594,11743,12781,13451,13119,,,22%,6%,,,,
"RI-Main LaSalleStreetStation 0.0 10,286 11,464 13,248 15,018 14,730 14,877 14,867 15,002 16,336 16,868 17,026 13,239 12,656 12,606",RI-Main,LaSalleStreetStation,0,10286,11464,13248,15018,14730,14877,14867,15002,16336,16868,17026,13239,12656,12606,41.655166,-87.678015,23%,-23%,,,,
"UP-N OgilvieTransCtr 0.0 8,437 8,899 10,113 10,216 10,792 10,689 10,455 10,714 11,209 10,595 10,935 10,833 12,566 12,412",UP-N,OgilvieTransCtr,0,8437,8899,10113,10216,10792,10689,10455,10714,11209,10595,10935,10833,12566,12412,42.419673,-88.617845,47%,11%,,,,
"MD-N UnionStation 0.0 5,805 6,483 6,801 7,329 7,802 8,729 8,930 8,541 9,300 8,903 9,776 9,870 10,072 10,326",MD-N,UnionStation,0,5805,6483,6801,7329,7802,8729,8930,8541,9300,8903,9776,9870,10072,10326,41.878646,-87.639817,78%,11%,,,,
"MD-W UnionStation 0.0 6,548 7,264 8,071 8,649 8,875 9,703 10,167 10,313 10,356 9,693 10,144 10,011 10,310 9,766",MD-W,UnionStation,0,6548,7264,8071,8649,8875,9703,10167,10313,10356,9693,10144,10011,10310,9766,41.878646,-87.639817,49%,-6%,,,,
"ME-Main MillenniumStation 0.0 12,112 13,868 13,516 14,705 15,032 14,121 13,846 13,768 14,209 13,533 13,152 10,353 9,798 9,292",ME-Main,MillenniumStation,0,12112,13868,13516,14705,15032,14121,13846,13768,14209,13533,13152,10353,9798,9292,41.884414,-87.623775,-23%,-35%,,,,
"BNSF Route59 31.6 0 0 0 1,112 1,740 2,011 2,556 3,322 4,178 5,001 5,793 5,874 5,781 6,339",BNSF,Route59,31.60,0,0,0,1112,1740,2011,2556,3322,4178,5001,5793,5874,5781,6339,41.777684,-88.209858,#DIV/0!,52%,2161,,,
"BNSF Naperville 28.5 2,571 3,251 3,791 3,510 3,150 3,196 3,271 3,516 4,040 3,734 4,112 4,002 4,107 4,015",BNSF,Naperville,28.50,2571,3251,3791,3510,3150,3196,3271,3516,4040,3734,4112,4002,4107,4015,41.779445,-88.146502,56%,-1%,-25,,,
"NCS UnionStation 0.0 0 0 0 0 0 0 0 1,708 1,905 1,893 2,173 2,799 2,772 2,825",NCS,UnionStation,0,0,0,0,0,0,0,0,1708,1905,1893,2173,2799,2772,2825,41.878646,-87.639817,#DIV/0!,48%,,,,
"ME-Main VanBurenStreet 0.8 5,151 5,682 6,099 6,468 5,546 5,735 5,589 5,796 6,093 5,360 4,671 3,422 3,141 2,734",ME-Main,VanBurenStreet,0.8,5151,5682,6099,6468,5546,5735,5589,5796,6093,5360,4671,3422,3141,2734,41.87723,-87.62259,-47%,-55%,,,,
"UP-N Ravenswood 6.5 307 353 511 562 663 747 878 914 1,246 1,455 1,940 2,363 2,721 2,630",UP-N,Ravenswood,6.50,307,353,511,562,663,747,878,914,1246,1455,1940,2363,2721,2630,41.917235,-87.667665,757%,111%,,,,
"UP-W Elmhurst 15.7 1,521 1,635 1,787 1,783 1,704 1,730 1,768 1,805 1,776 1,785 1,833 2,313 2,344 2,540",UP-W,Elmhurst,15.70,1521,1635,1787,1783,1704,1730,1768,1805,1776,1785,1833,2313,2344,2540,41.896377,-87.915753,67%,43%,,,,
"UP-NW ArlingtonHeights 22.8 2,764 2,727 2,953 3,179 3,129 3,001 2,833 2,572 2,579 2,496 2,317 2,349 2,578 2,506",UP-NW,ArlingtonHeights,22.80,2764,2727,2953,3179,3129,3001,2833,2572,2579,2496,2317,2349,2578,2506,42.063038,-87.93562,-9%,-3%,,,,
"BNSF DownersGroveMainSt 21.2 1,830 2,051 2,090 2,261 2,044 2,021 2,023 2,205 2,277 2,371 2,328 2,473 2,376 2,492",BNSF,DownersGroveMainSt,21.20,1830,2051,2090,2261,2044,2021,2023,2205,2277,2371,2328,2473,2376,2492,41.795643,-88.010319,36%,9%,215,,,
"UP-NW Palatine 26.4 1,632 1,586 1,919 2,104 2,010 2,092 1,957 2,092 2,091 1,894 2,105 2,334 2,378 2,482",UP-NW,Palatine,26.40,1632,1586,1919,2104,2010,2092,1957,2092,2091,1894,2105,2334,2378,2482,42.095538,-88.008963,52%,19%,,,,
"RI-Main 80thAvenueTinleyPark 25.1 632 759 1,178 1,246 1,268 1,148 1,240 1,585 1,822 2,297 2,459 1,932 2,050 2,064",RI-Main,80thAvenueTinleyPark,25.10,632,759,1178,1246,1268,1148,1240,1585,1822,2297,2459,1932,2050,2064,41.564086,-87.809137,227%,13%,,,,
"UP-W GlenEllyn 22.4 1,971 1,999 2,280 2,186 2,070 1,948 1,844 1,949 1,889 1,665 1,537 1,765 1,734 1,929",UP-W,GlenEllyn,22.40,1971,1999,2280,2186,2070,1948,1844,1949,1889,1665,1537,1765,1734,1929,41.886248,-88.01899,-2%,2%,,,,
"BNSF Lisle 24.5 2,330 2,219 2,150 2,222 2,227 2,280 2,390 2,648 2,576 2,204 2,472 1,993 1,789 1,895",BNSF,Lisle,24.50,2330,2219,2150,2222,2227,2280,2390,2648,2576,2204,2472,1993,1789,1895,41.797808,-88.071683,-19%,-26%,-681,,,
"UP-NW MountProspect 20.0 2,146 2,220 2,253 2,147 2,073 2,055 1,899 1,754 1,804 1,655 1,590 1,774 1,816 1,879",UP-NW,MountProspect,20.00,2146,2220,2253,2147,2073,2055,1899,1754,1804,1655,1590,1774,1816,1879,42.052845,-87.911628,-12%,4%,,,,
"UP-N DavisStEvanston 12.0 565 709 787 951 1,073 1,124 1,208 1,322 1,395 1,439 1,854 2,070 1,939 1,876",UP-N,DavisStEvanston,12.00,565,709,787,951,1073,1124,1208,1322,1395,1439,1854,2070,1939,1876,42.03366,-87.679961,232%,34%,,,,
"BNSF Aurora 37.5 834 905 985 1,056 1,014 1,033 1,184 1,387 1,467 1,646 2,180 2,107 1,936 1,856",BNSF,Aurora,37.50,834,905,985,1056,1014,1033,1184,1387,1467,1646,2180,2107,1936,1856,41.760169,-88.30885,123%,27%,389,,,
"UP-W Geneva 35.5 872 955 1,124 1,290 1,366 1,370 1,623 1,607 1,642 1,698 1,562 1,732 1,708 1,742",UP-W,Geneva,35.50,872,955,1124,1290,1366,1370,1623,1607,1642,1698,1562,1732,1708,1742,41.880776,-88.199173,100%,6%,,,,
"UP-NW ArlingtonPark 24.4 1,430 1,479 1,834 1,845 1,829 1,945 1,957 1,980 1,904 1,665 1,614 1,672 1,697 1,738",UP-NW,ArlingtonPark,24.40,1430,1479,1834,1845,1829,1945,1957,1980,1904,1665,1614,1672,1697,1738,42.084427,-87.983629,22%,-9%,,,,
"UP-NW Barrington 31.9 1,564 1,631 1,945 1,838 1,748 1,859 1,831 1,758 1,745 1,724 1,724 1,717 1,738 1,725",UP-NW,Barrington,31.90,1564,1631,1945,1838,1748,1859,1831,1758,1745,1724,1724,1717,1738,1725,42.112776,-88.048512,10%,-1%,,,,
"UP-N Wilmette 14.4 1,175 1,245 1,375 1,465 1,473 1,465 1,505 1,484 1,494 1,363 1,379 1,120 1,614 1,653",UP-N,Wilmette,14.40,1175,1245,1375,1465,1473,1465,1505,1484,1494,1363,1379,1120,1614,1653,42.064077,-87.697643,41%,11%,,,,
"UP-W Wheaton 25.0 1,770 1,901 2,132 2,133 2,115 2,188 2,027 1,990 1,865 1,655 1,661 1,506 1,577 1,618",UP-W,Wheaton,25.00,1770,1901,2132,2133,2115,2188,2027,1990,1865,1655,1661,1506,1577,1618,41.867943,-88.089851,-9%,-13%,,,,
"MD-W Schaumburg 26.5 480 693 961 1,147 1,238 1,363 1,569 1,647 1,733 1,609 1,698 1,737 1,727 1,583",MD-W,Schaumburg,26.50,480,693,961,1147,1238,1363,1569,1647,1733,1609,1698,1737,1727,1583,41.988652,-88.117912,230%,-9%,,,,
"UP-W Lombard 19.9 1,418 1,360 1,385 1,146 1,123 1,261 1,211 1,285 1,269 1,213 1,281 1,321 1,343 1,502",UP-W,Lombard,19.90,1418,1360,1385,1146,1123,1261,1211,1285,1269,1213,1281,1321,1343,1502,41.896248,-87.97727,6%,18%,,,,
